TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-11-10,44.54,46.32,40.58,41.35,0.0
2022-11-11,41.02,43.24,39.78,43.22,0.0
2022-11-14,40.61,43.4,40.58,43.36,0.0
2022-11-15,43.05,43.92,42.42,42.71,0.0
2022-11-16,42.31,49.49,41.94,45.47,0.0
2022-11-17,45.13,45.41,42.51,42.74,0.0
2022-11-18,42.49,43.97,41.66,43.05,0.0
2022-11-21,43.09,45.58,40.84,41.53,0.0
2022-11-22,44.0,45.2,40.69,41.36,0.0
2022-11-23,40.94,46.26,40.7,41.11,0.0
2022-11-24,41.05,43.05,38.95,41.84,0.0
2022-11-25,41.25,42.99,37.52,39.22,0.0
2022-11-28,43.6,44.71,38.71,39.8,0.0
2022-11-29,39.5,42.06,39.04,40.01,0.0
2022-11-30,39.99,42.21,37.07,40.26,0.0
2022-12-01,40.39,45.11,40.16,40.66,0.0
2022-12-02,40.11,42.79,39.37,39.99,0.0
2022-12-05,38.21,44.32,37.6,41.53,0.0
2022-12-06,40.45,45.31,38.88,40.27,0.0
2022-12-07,38.03,41.47,38.02,40.7,0.0
2022-12-08,41.5,45.31,34.57,34.7,0.0
2022-12-09,34.91,35.0,28.25,29.15,0.0
2022-12-12,28.68,32.2,25.91,27.84,0.0
2022-12-13,22.23,40.53,21.63,29.63,0.0
2022-12-14,30.93,39.09,30.44,32.05,0.0
2022-12-15,33.1,33.1,28.18,32.12,0.0
2022-12-16,31.62,33.76,31.11,33.4,0.0
2022-12-19,31.72,36.16,30.53,35.15,0.0
2022-12-20,35.64,37.2,35.2,36.36,0.0
2022-12-21,35.54,38.64,35.54,37.75,0.0
2022-12-22,37.39,40.24,36.51,37.34,0.0
2022-12-23,39.42,42.47,37.37,38.19,0.0
2022-12-26,38.43,42.17,38.39,40.27,0.0
2022-12-27,38.93,42.02,38.93,40.79,0.0
2022-12-28,39.8,43.12,39.03,43.05,0.0
2022-12-29,42.66,43.35,40.7,42.01,0.0
2022-12-30,41.43,42.56,39.27,39.27,0.0
2023-01-03,38.86,40.64,38.69,40.35,0.0
2023-01-04,40.82,41.99,39.46,40.58,0.0
2023-01-05,42.24,44.37,40.74,44.09,0.0
2023-01-06,43.22,44.35,39.48,40.62,0.0
2023-01-09,40.39,42.14,37.56,38.48,0.0
2023-01-10,38.24,38.95,36.67,36.67,0.0
2023-01-11,38.45,40.01,36.4,36.41,0.0
2023-01-12,34.94,35.39,31.99,32.68,0.0
2023-01-13,33.61,37.36,33.21,35.66,0.0
2023-01-16,35.22,35.73,32.52,34.88,0.0
2023-01-17,35.69,36.91,34.23,35.94,0.0
2023-01-18,35.47,37.24,33.27,35.24,0.0
2023-01-19,34.84,37.22,34.82,36.01,0.0
2023-01-20,36.15,36.21,34.4,34.99,0.0
2023-01-23,34.08,36.01,33.96,34.94,0.0
2023-01-24,35.1,35.54,33.84,34.82,0.0
2023-01-25,34.6,35.03,33.82,33.89,0.0
2023-01-26,33.92,34.38,33.14,33.23,0.0
2023-01-27,33.08,33.77,32.81,33.37,0.0
2023-01-30,33.43,33.95,32.17,32.29,0.0
2023-01-31,32.26,33.32,32.01,32.21,0.0
2023-02-01,31.47,32.67,30.14,32.21,0.0
2023-02-02,32.49,32.99,30.24,31.44,0.0
2023-02-03,31.87,32.26,30.59,31.44,0.0
2023-02-06,31.06,32.1,30.05,30.68,0.0
2023-02-07,30.39,31.79,30.05,31.54,0.0
2023-02-08,31.18,31.38,29.56,30.61,0.0
2023-02-09,28.51,29.43,25.19,27.04,0.0
2023-02-10,29.06,29.34,25.84,26.84,0.0
2023-02-13,27.9,30.8,27.43,29.69,0.0
2023-02-14,29.35,35.89,29.27,35.59,0.0
2023-02-15,35.84,41.68,34.89,41.41,0.0
2023-02-16,40.83,44.37,40.83,43.08,0.0
2023-02-17,42.74,44.83,42.66,43.86,0.0
2023-02-20,43.46,47.62,42.46,47.57,0.0
2023-02-21,47.13,51.24,45.6,45.61,0.0
2023-02-22,45.01,45.81,43.04,43.21,0.0
2023-02-24,43.27,45.25,41.33,42.39,0.0
2023-02-27,39.9,43.76,39.5,42.71,0.0
2023-02-28,43.07,44.92,41.46,44.53,0.0
2023-03-01,44.23,44.6,38.8,41.29,0.0
