open,close,high,low,value,volume,begin,end,end_time,time_diff
139.75,139.65,140.05,139.45,4374856.850000001,31282,2023-11-29 11:00:00,2023-11-29 11:59:59,11:59:59,0 days 00:00:01
138.6,138.5,138.7,138.3,4770633.999999997,34437,2023-11-30 11:00:00,2023-11-30 11:59:59,11:59:59,0 days 00:00:01
138.4,138.7,139.0,138.25,1555633.15,11212,2023-12-01 11:00:00,2023-12-01 11:59:59,11:59:59,0 days 00:00:01
136.8,136.65,136.9,136.25,4392992.6,32188,2023-12-04 11:00:00,2023-12-04 11:59:59,11:59:59,0 days 00:00:01
136.6,136.2,136.65,135.8,52389137.15000001,384375,2023-12-05 11:00:00,2023-12-05 11:59:59,11:59:59,0 days 00:00:01
136.95,137.0,137.25,136.35,21604776.800000004,158058,2023-12-06 11:00:00,2023-12-06 11:59:59,11:59:59,0 days 00:00:01
134.2,134.15,134.4,133.8,3921020.2,29257,2023-12-07 11:00:00,2023-12-07 11:59:59,11:59:59,0 days 00:00:01
135.65,135.95,136.55,135.65,11672338.899999997,85727,2023-12-08 11:00:00,2023-12-08 11:59:59,11:59:59,0 days 00:00:01
134.5,134.5,134.8,134.05,2012906.6500000001,14978,2023-12-11 11:00:00,2023-12-11 11:59:59,11:59:59,0 days 00:00:01
132.75,132.05,132.75,131.15,26184949.5,199212,2023-12-12 11:00:00,2023-12-12 11:59:59,11:59:59,0 days 00:00:01
132.65,133.0,133.0,132.3,1838260.6999999995,13863,2023-12-13 11:00:00,2023-12-13 11:59:59,11:59:59,0 days 00:00:01
135.05,135.15,135.2,134.75,4013562.7999999993,29751,2023-12-14 11:00:00,2023-12-14 11:59:59,11:59:59,0 days 00:00:01
132.05,132.25,132.8,132.05,5989774.25,45186,2023-12-15 11:00:00,2023-12-15 11:59:59,11:59:59,0 days 00:00:01
136.0,136.65,136.65,135.95,7965693.300000001,58398,2023-12-18 11:00:00,2023-12-18 11:59:59,11:59:59,0 days 00:00:01
137.25,137.45,137.5,137.0,7110403.249999993,51825,2023-12-19 11:00:00,2023-12-19 11:59:59,11:59:59,0 days 00:00:01
137.6,138.05,138.2,137.45,5527186.9,40094,2023-12-20 11:00:00,2023-12-20 11:59:59,11:59:59,0 days 00:00:01
137.0,137.0,137.1,136.75,2468903.8,18033,2023-12-21 11:00:00,2023-12-21 11:59:59,11:59:59,0 days 00:00:01
